x1	x2	t
1.29276441	0.51804926	1
1.35473301	0.57245874	1
0.94534834	1.94347347	1
0.77325141	0.80409031	1
1.30294373	0.50968353	1
0.09102202	1.34366605	1
1.31504928	0.74747824	1
0.86190795	2.07885991	1
0.85792013	0.70010122	1
0.54033900	0.65272665	1
0.94187610	1.11196270	1
1.90865602	0.42188833	1
1.18531393	1.21120926	1
1.26010823	0.33762237	1
0.62473400	1.07054216	1
1.40844992	0.73197600	1
0.55682124	0.84419696	1
0.83421121	1.77805482	1
1.56035633	0.77598335	1
1.14936185	1.16056177	1
1.38981096	0.38491388	1
1.72789254	0.33797065	1
0.67783579	1.63062114	1
0.22343130	1.65961586	1
0.20114524	0.95962312	1
1.90254876	0.74745510	1
0.75917632	0.97392320	1
1.31018990	1.31443031	1
1.30606175	2.09000120	1
0.91884451	0.96549135	1
7.81187318	8.54486360	2
9.19683355	8.32145202	2
9.04919034	7.32215158	2
8.63244564	8.53095512	2
7.25427119	6.57876031	2
7.49118828	5.84117898	2
6.67591342	5.15463171	2
5.33794976	8.15732529	2
8.76773385	4.87645012	2
7.02580105	5.80396848	2
8.12851083	8.64219199	2
4.61964194	7.88365483	2
5.93973445	7.52487589	2
7.93714054	5.81534093	2
7.85445172	9.65578827	2
8.46072940	5.95208629	2
5.58690122	5.98887748	2
7.56740325	7.66892165	2
7.58318765	7.12917729	2
5.69320117	6.57742313	2
6.45961393	5.85973586	2
8.94769266	5.70628471	2
7.05359027	6.40530123	2
7.35166284	5.49918592	2
6.32902346	7.01585569	2
7.27795369	7.54016957	2
7.69117127	5.45270803	2
7.82379533	7.84965293	2
9.14506502	7.89601318	2
4.65305602	7.13869100	2
9.11219399	-1.21449624	3
7.99310139	0.41129844	3
9.41497731	0.14646162	3
10.19247213	-0.60487350	3
8.55984030	-0.08146818	3
7.62571702	-0.18820997	3
9.66610457	1.27451000	3
10.19511635	-0.25822410	3
9.38764100	0.05082905	3
8.02824624	-0.48792730	3
9.04096168	-0.36572889	3
8.41151297	0.22736343	3
8.21298539	-0.18148051	3
10.74788397	-0.36130018	3
10.05202904	-0.74385215	3
9.70695064	-0.21048685	3
9.61969372	0.47476301	3
8.39134463	-0.92986376	3
9.35718621	1.32323555	3
9.76594381	-0.01775992	3
9.48403731	0.14994036	3
9.78235766	1.01039458	3
8.77172317	0.02705512	3
10.85783319	0.61843585	3
9.72841550	-1.27700389	3
10.40032439	0.36071262	3
9.50403185	1.86266257	3
8.76903496	0.30102374	3
9.40239279	0.16138288	3
9.61865255	-1.36178426	3
